price;distance
14891;67503
14865;90337
20694;62328
19000;36305
25000;24232
25000;33029
26591;13173
13981;97029
13995;105509
18981;35274
19977;40572
24995;13839
12981;73529
15998;57629
22998;14823
24995;24950
28998;6848
12995;49166
16998;42892
17999;43716
19991;32959
20994;41977
22995;29046
22998;6272
24998;26446
23962;17302
23963;14805
24223;3616
24577;8195
24922;15389
24988;18251
24989;19952
24995;7162
24996;15393
24997;3738
25999;17559
26877;8209
26987;10094
26991;9438
27000;6768
27495;2486
28000;6717
29340;724
4249;142351
5999;179587
6499;146186
9988;117713
9990;128302
9991;102584
11911;119406
12950;93349
12997;86311
14349;62726
14386;94285
14500;101381
14990;99650
15362;70953
15488;74415
15495;80996
15665;54722
16995;56033
17500;56068
18000;48699
18400;35745
18444;43590
18761;42003
18998;34444
19490;46508
19500;37274
19878;36870
19990;67171
19991;44320
19995;49830
20590;37717
20737;38700
20899;30899
21395;34293
21499;32077
21697;30253
21900;28000
21988;14954
22588;32417
22588;28212
22603;35832
22885;25937
23294;37949
23455;41334
23900;37315
23967;44211
23981;25744
23995;40004
24262;27867
24430;26120
24800;22644
24885;10897
24995;42878
24995;24950
25432;33834
26495;34045
26800;11308
26999;28010
27990;14662
5295;128710
5988;184668
5991;120515
5992;100393
6995;99260
7488;117359
7981;89178
7987;111403
7993;87161
7997;105801
8909;99527
8940;76250
8992;95148
9991;150333
9997;148407
10300;75129
10771;80858
10780;95326
10850;85578
10999;160767
11000;79446
11599;88885
11950;144702
11990;119587
11991;66517
11995;75589
12403;85480
12749;94449
13393;64560
13469;108407
13512;48165
13999;52940
14125;75859
14200;75380
14313;69319
14500;89704
14762;61004
14771;49509
14799;37125
14888;92513
14891;67503
14897;64751
14982;75851
14991;68055
14991;52125
14991;45776
14995;82001
14999;106627
15000;53077
15000;56774
15311;60129
15374;63744
15379;71103
15440;61379
15500;62372
15500;54757
15786;58119
15994;50081
15995;68357
16065;83347
16288;57832
16289;56186
16492;46169
16498;47904
16500;45723
16500;79811
16636;36856
16777;37857
16900;64209
16950;98294
16986;35527
16991;39629
16995;28177
16999;29169
17000;16972
17000;33848
17498;36742
17499;6378
17500;36845
17500;64415
17791;24143
17873;31402
17941;55940
17986;23568
17998;38127
17999;43716
17999;36215
18000;25737
18000;90714
18005;47139
18193;34318
18255;37211
18312;16679
18495;38016
18727;51161
18985;37120
18988;17942
18988;80297
18988;29943
18989;59451
18990;46380
18991;11514
18991;24285
18992;15643
18993;32401
18995;21355
18999;29165
19000;64530
19000;39209
19248;28899
19390;26066
19485;42923
19500;28669
19589;24314
19884;35000
19900;33664
19900;29277
19977;18496
19985;16885
19986;28075
19990;20712
19991;14050
19991;32959
19991;14050
19991;44004
19995;39368
19997;29087
19999;22118
20000;36512
20000;18010
20000;25214
20000;19357
20000;31951
20000;14515
20195;29168
20267;21911
20275;15255
20350;35832
20412;18665
20478;26032
20492;26368
20500;39008
20500;25784
20500;37375
20500;35930
20507;14319
20707;45531
20762;18095
20790;7949
20791;23663
20874;29868
20887;27449
20888;25736
20900;28799
20911;18771
20929;24531
20945;28849
20955;20055
20960;45829
20961;18060
20977;46773
20979;28091
20980;14312
20981;29175
20985;18197
20988;30360
20991;21243
20991;15939
20994;22984
21000;60939
21000;28788
21000;38769
21000;16468
21000;26361
21024;14483
21055;18011
21191;26167
21217;35773
21278;34247
21467;24493
21469;17548
21490;15460
21494;24958
21495;25223
21499;13047
21500;16195
21500;10766
21500;14304
21500;26068
21524;28104
21550;25080
21559;23643
21559;26921
21577;22996
21595;21559
21615;21817
21635;18963
21635;46870
21688;33387
21788;51312
21800;27100
21800;28624
21844;18216
21885;29743
21893;16002
21950;26789
21960;12859
21961;21795
21988;9852
21988;18074
21988;4080
21988;26210
21989;25779
21991;15941
21991;29760
21991;26814
21991;19007
21994;20621
21995;27705
21995;47117
21995;17503
21996;5783
21997;27166
