price;distance
10888;19606
8995;48851
10999;39922
14799;22142
7989;105246
14490;34032
13995;32384
10495;57596
9995;63887
12921;58550
12000;40527
7750;91980
17628;13797
13999;35035
14995;23454
14990;23603
14590;19250
9500;68289
7990;60552
16994;23946
15499;27171
13499;35037
13999;38343
14999;17669
15995;37483
14500;25926
13995;30214
16000;30881
17419;15390
14999;27333
14999;28326
17000;24671
12500;50821
14895;29755
14999;29169
15499;23599
15994;18821
15379;26984
14495;27577
15999;27268
14994;22266
16500;29651
13699;39342
12933;54050
15965;30091
8995;53525
13987;44330
15976;27263
16990;16848
14994;34599
17990;24376
18500;18283
11995;53000
11888;84126
9995;62983
13799;31055
13495;41234
16499;25068
15595;38122
14995;35039
13473;29875
14895;46243
15895;24511
16651;32203
12930;61189
18500;15817
15999;15181
13419;58105
14499;33363
19411;20192
15500;43359
15889;37303
18450;17014
16999;21064
14595;37852
15383;45616
11991;59594
17997;12638
16499;18583
17544;30879
16385;30014
16000;41310
13999;49192
15999;34037
11982;69027
17969;17419
14995;20261
13977;35370
17376;27384
14989;37882
10990;81301
13999;49881
14494;36875
18488;18719
15200;36128
13900;51544
8572;51293
14921;41726
12995;50162
19444;20905
10999;61157
10995;69900
16985;16951
15999;35537
17495;31801
13995;42600
16224;36007
16999;30940
16239;24184
17499;21958
11585;80359
16990;30621
11995;63421
15775;30171
16850;33770
19000;10967
14995;31508
12750;53892
8900;105055
17631;25267
7783;109568
17991;20906
10995;63141
7750;83324
14985;56964
11995;76722
17591;31968
16900;38076
14999;32047
16994;35396
18050;19704
14990;25475
10823;70204
15933;27848
16488;23277
15990;29384
17966;19420
17497;21098
15500;44059
14500;38814
13794;57509
14991;37469
11359;69217
15889;22832
15995;30347
16999;18281
21000;4279
16999;18386
17461;29719
17995;20863
16490;24825
15499;36830
17988;21495
17300;37138
14999;42989
15000;42689
15495;50825
16997;28905
16750;22205
12795;61586
17920;21148
14226;44226
14995;43614
14497;29167
11549;83411
16986;28443
17693;28475
16740;22833
15999;31776
18999;16891
14795;29198
16993;28930
18998;19847
17593;25840
14985;57387
10000;92684
16968;29784
18698;27463
17800;19873
10990;79123
15990;24252
15981;42890
15440;31166
14900;29100
16440;28572
16981;39205
17655;13443
18832;9132
17499;24005
18203;23560
12995;61515
17996;20617
17758;34497
18500;10442
11000;93661
15495;46718
16170;50055
19970;7496
13974;39740
14597;35155
16500;27896
18194;25853
15490;40131
15000;48384
15494;45417
9717;74429
16498;44331
18995;15953
15994;35452
17000;23453
17400;36169
11786;73311
16493;37455
6929;133548
11993;98634
15799;33888
15999;43080
9495;87355
16240;31624
16689;49140
13695;45213
15000;55643
15999;34717
14999;47086
16994;22756
8888;94925
16899;32983
20400;13527
13998;41652
11995;49153
16965;23404
16887;12083
15997;43879
13495;39885
14477;53555
17592;27671
17179;26806
17000;23351
16195;33520
15230;36248
14991;62738
18996;7738
14567;52922
15999;32769
12700;78550
18397;22333
16460;30222
14998;30633
18967;25760
12558;73003
18492;21451
16995;23223
17877;29996
18000;32664
14302;86180
17995;30817
10000;101228
15999;27550
17398;20922
12998;75501
15995;27883
16000;27857
16995;53888
14495;37513
15500;41177
15394;45059
17729;43113
15493;35401
16863;29232
12944;75074
17140;41354
12995;47476
11398;70066
17499;10187
17969;29028
17850;36795
11890;77898
17990;34022
15970;28854
8999;85390
15986;44155
14922;59349
16992;25154
15495;34631
17321;29563
17995;22374
17997;23065
15995;37718
14595;56289
13990;66602
16995;25464
15890;38772
17500;35388
16250;34510
18492;15930
16969;33203
14642;46133
15996;51871
16987;30075
11988;71466
14995;50848
15998;37726
13975;66853
12950;66848
14999;46067
16998;35736
12598;70911
15777;40637
19001;11206
17250;40101
18371;26189
14610;32576
22000;10
22000;10
16511;39949
18189;22646
14200;70706
16590;31439
15900;39477
17000;46319
15955;38897
17988;23623
17995;31872
18900;22187
12290;83691
18488;29118
15995;41016
18300;31895
17777;38026
16995;40981
18998;28546
13999;58385
12495;84549
17500;36843
18998;21556
18027;27447
15950;39562
11995;53116
15969;56112
22000;853
12995;66915
15995;48017
16975;31786
14995;25830
15761;42083
21800;7675
17455;30656
14642;63190
9876;93336
18250;34738
17990;24426
21298;2302
15883;50991
13490;52573
16977;36713
22000;1459
15397;55836
18032;24636
19300;16953
15985;39981
10398;81862
18490;30808
17445;30597
18991;19837
16998;19520
14988;39361
12998;77834
16550;36693
12999;68203
13000;68212
14990;61490
17187;26684
14000;65700
16999;28489
16994;33871
18152;40494
9990;70244
17497;22523
11000;66692
14999;49670
15730;43906
16800;39959
16499;50388
16000;32139
18588;29878
17970;38570
11500;81872
10600;97661
14995;81859
16500;35723
18700;21949
9990;105292
17395;33354
15599;43113
16995;38182
17500;39201
15400;59647
14995;36190
15988;59297
13991;86719
14999;50532
13438;73739
16988;30698
17996;27174
16997;31051
18000;38178
16979;39511
15799;43859
18425;13303
9555;84559
13200;75570
13999;74602
14999;54098
15950;40846
17895;36071
16995;39534
15790;48038
17800;51757
16598;35918
15991;43904
17900;46736
16275;38701
17496;21077
16990;30176
18390;35089
18500;20943
10153;101436
18349;30799
16969;37781
18891;26055
14492;59790
17878;34279
17995;18373
16999;27427
16485;36584
17750;39076
8499;124553
21297;5311
18990;23099
15991;49787
14998;47367
19999;21232
16995;40522
14994;55293
10980;93967
8888;100528
16165;40850
15986;34876
19495;9516
17650;23171
16987;31633
18362;14809
12000;87378
14395;54046
15999;45966
11700;87748
9191;94682
17498;35169
12991;52629
15459;51160
20700;5279
17994;30822
20500;17459
17750;39958
15900;36246
9499;96458
11880;100498
16794;39537
18900;38361
17999;25491
21500;14024
15799;49243
17995;19896
17288;35613
12200;76895
16995;31942
17885;21250
18897;9086
8999;102816
18485;15988
13970;51345
17991;29983
16445;38819
17851;31757
18800;24524
18811;27428
17500;35046
16995;41050
18346;31185
18500;42008
14990;48041
11000;62015
18600;26615
18988;27318
15887;49456
8590;138129
18712;29960
17352;31144
18485;22958
18491;31801
18751;41154
13290;62478
17690;25914
16295;49988
16488;48100
15997;45115
16900;41328
19995;25762
17900;32100
17999;30055
16738;44714
18999;9214
15900;48134
10980;92512
18500;24676
16124;35348
18200;36559
18488;15929
16697;37200
10595;102408
10498;101054
17987;33240
11994;75778
16997;34007
9220;112708
8995;104632
16390;41085
16000;60274
17492;39148
16977;26712
22000;10007
14995;56938
19000;37578
17892;40137
15895;41864
13900;78361
15795;48865
9989;105905
17590;26956
14998;58519
18089;25437
20989;6989
17877;29474
18000;39296
16450;41568
15985;45484
17490;43203
16987;25812
10555;106224
17999;25280
16440;41054
15487;47178
14858;73548
16980;34735
18000;34900
18500;30848
12591;88107
11444;89445
21395;6406
18988;14051
17591;32397
13491;68651
7849;96769
11999;69456
17890;24007
17000;50755
19995;15890
14857;60552
19725;29649
14993;69146
18900;21407
16998;33627
11999;69794
16993;36753
22500;3319
17554;38308
13155;56089
5413;140500
12399;62459
16887;38340
19246;30015
18600;32174
17922;35584
19998;16233
6988;114699
9929;111216
17000;35649
12572;77800
16995;36046
8998;73406
15298;50321
14995;42678
17999;23752
7995;101588
17995;23844
17400;31060
18700;24769
21353;21869
16700;39578
21955;3894
17499;29973
13813;70828
19875;26592
14976;45776
17988;33663
12991;82267
15996;45359
9810;117446
19213;37388
18900;22425
16995;34136
18095;23256
21479;950
16999;42208
17400;23088
18991;29500
18969;20214
21987;3222
18980;31473
18999;36973
18500;28707
22500;4671
17494;42131
14995;44084
17990;34733
5995;135311
19554;27781
18700;39160
17748;36887
7989;94232
19599;14440
7995;119995
15533;42232
18500;28818
16750;57483
18500;32215
16990;37166
16999;29729
18000;37495
18295;27463
18998;23015
15500;55507
18500;40265
19890;24478
18798;25718
14748;59181
17695;29279
4950;142587
9995;79412
17000;37752
